134,280,yellow,-2.398343,1.087577,4.067624
232,242,yellow,-2.037238,1.052629,6.779373
152,278,orange,-2.182343,1.063577,4.067624
216,254,yellow,-2.020490,1.107967,5.810891
230,242,yellow,-2.077238,1.052629,6.779373
134,280,yellow,-2.398343,1.087577,4.067624
152,278,orange,-2.182343,1.063577,4.067624
216,252,yellow,-2.020490,1.073682,5.810891
216,252,yellow,-2.020490,1.073682,5.810891
230,242,yellow,-2.077238,1.052629,6.779373
432,266,orange,1.308508,1.021752,4.519582
230,242,yellow,-2.077238,1.052629,6.779373
436,256,orange,1.361841,0.888419,4.519582
222,244,orange,-1.917633,0.936539,5.810891
220,244,orange,-1.951918,0.936539,5.810891
214,254,yellow,-3.595857,1.938943,10.169059
