265,173,yellow,-0.911535,-0.043465,4.285631
372,179,blue,0.269449,0.020775,3.174541
287,182,yellow,-0.432884,0.042535,2.857087
465,183,blue,0.949798,0.048852,2.764923
624,183,blue,2.322239,0.052221,2.955607
328,187,yellow,-0.089257,0.068553,2.380906
217,189,orange,-0.760835,0.075504,2.197759
36,190,orange,-inf,inf,inf
168,205,orange,-0.689213,0.112643,1.428543
336,205,blue,-0.022522,0.116528,1.477804
628,208,yellow,1.177559,0.128857,1.477804
256,232,blue,-0.228944,0.148255,0.963063
615,275,yellow,0.490222,0.176276,0.644456
